id,name,country_code
1,Afghanistan,AFG
2,Aland Islands,ALA
3,Albania,ALB
4,Algeria,DZA
5,American Samoa,ASM
6,Andorra,AND
7,Angola,AGO
8,Anguilla,AIA
9,Antarctica,ATA
10,Antigua and Barbuda,ATG
11,Argentina,ARG
12,Armenia,ARM
13,Aruba,ABW
14,Australia,AUS
15,Austria,AUT
16,Azerbaijan,AZE
18,Bahrain,BHR
19,Bangladesh,BGD
20,Barbados,BRB
21,Belarus,BLR
22,Belgium,BEL
23,Belize,BLZ
24,Benin,BEN
25,Bermuda,BMU
26,Bhutan,BTN
27,Bolivia,BOL
155,"Bonaire, Sint Eustatius and Saba",BES
28,Bosnia and Herzegovina,BIH
29,Botswana,BWA
30,Bouvet Island,BVT
31,Brazil,BRA
32,British Indian Ocean Territory,IOT
33,Brunei,BRN
34,Bulgaria,BGR
35,Burkina Faso,BFA
36,Burundi,BDI
37,Cambodia,KHM
38,Cameroon,CMR
39,Canada,CAN
40,Cape Verde,CPV
41,Cayman Islands,CYM
42,Central African Republic,CAF
43,Chad,TCD
44,Chile,CHL
45,China,CHN
46,Christmas Island,CXR
47,Cocos (Keeling) Islands,CCK
48,Colombia,COL
49,Comoros,COM
50,Congo,COG
52,Cook Islands,COK
53,Costa Rica,CRI
54,Cote D'Ivoire (Ivory Coast),CIV
55,Croatia,HRV
56,Cuba,CUB
249,Curaçao,CUW
57,Cyprus,CYP
58,Czech Republic,CZE
51,Democratic Republic of the Congo,COD
59,Denmark,DNK
60,Djibouti,DJI
61,Dominica,DMA
62,Dominican Republic,DOM
64,Ecuador,ECU
65,Egypt,EGY
66,El Salvador,SLV
67,Equatorial Guinea,GNQ
68,Eritrea,ERI
69,Estonia,EST
212,Eswatini,SWZ
70,Ethiopia,ETH
71,Falkland Islands,FLK
72,Faroe Islands,FRO
73,Fiji Islands,FJI
74,Finland,FIN
75,France,FRA
76,French Guiana,GUF
77,French Polynesia,PYF
78,French Southern Territories,ATF
79,Gabon,GAB
80,Gambia The,GMB
81,Georgia,GEO
82,Germany,DEU
83,Ghana,GHA
84,Gibraltar,GIB
85,Greece,GRC
86,Greenland,GRL
87,Grenada,GRD
88,Guadeloupe,GLP
89,Guam,GUM
90,Guatemala,GTM
91,Guernsey and Alderney,GGY
92,Guinea,GIN
93,Guinea-Bissau,GNB
94,Guyana,GUY
95,Haiti,HTI
96,Heard Island and McDonald Islands,HMD
97,Honduras,HND
98,Hong Kong S.A.R.,HKG
99,Hungary,HUN
100,Iceland,ISL
101,India,IND
102,Indonesia,IDN
103,Iran,IRN
104,Iraq,IRQ
105,Ireland,IRL
106,Israel,ISR
107,Italy,ITA
108,Jamaica,JAM
109,Japan,JPN
110,Jersey,JEY
111,Jordan,JOR
112,Kazakhstan,KAZ
113,Kenya,KEN
114,Kiribati,KIR
248,Kosovo,XKX
117,Kuwait,KWT
118,Kyrgyzstan,KGZ
119,Laos,LAO
120,Latvia,LVA
121,Lebanon,LBN
122,Lesotho,LSO
123,Liberia,LBR
124,Libya,LBY
125,Liechtenstein,LIE
126,Lithuania,LTU
127,Luxembourg,LUX
128,Macau S.A.R.,MAC
130,Madagascar,MDG
131,Malawi,MWI
132,Malaysia,MYS
133,Maldives,MDV
134,Mali,MLI
135,Malta,MLT
136,Man (Isle of),IMN
137,Marshall Islands,MHL
138,Martinique,MTQ
139,Mauritania,MRT
140,Mauritius,MUS
141,Mayotte,MYT
142,Mexico,MEX
143,Micronesia,FSM
144,Moldova,MDA
145,Monaco,MCO
146,Mongolia,MNG
147,Montenegro,MNE
148,Montserrat,MSR
149,Morocco,MAR
150,Mozambique,MOZ
151,Myanmar,MMR
152,Namibia,NAM
153,Nauru,NRU
154,Nepal,NPL
156,Netherlands,NLD
157,New Caledonia,NCL
158,New Zealand,NZL
159,Nicaragua,NIC
160,Niger,NER
161,Nigeria,NGA
162,Niue,NIU
163,Norfolk Island,NFK
115,North Korea,PRK
129,North Macedonia,MKD
164,Northern Mariana Islands,MNP
165,Norway,NOR
166,Oman,OMN
167,Pakistan,PAK
168,Palau,PLW
169,Palestinian Territory Occupied,PSE
170,Panama,PAN
171,Papua New Guinea,PNG
172,Paraguay,PRY
173,Peru,PER
174,Philippines,PHL
175,Pitcairn Island,PCN
176,Poland,POL
177,Portugal,PRT
178,Puerto Rico,PRI
179,Qatar,QAT
180,Reunion,REU
181,Romania,ROU
182,Russia,RUS
183,Rwanda,RWA
184,Saint Helena,SHN
185,Saint Kitts and Nevis,KNA
186,Saint Lucia,LCA
187,Saint Pierre and Miquelon,SPM
